datetime,reqestss_count,failed_requests_count,server_errors_count
2020-07-24 00:00:00,13553,1160,1160
2020-07-24 01:00:00,689,406,402
2020-07-24 02:00:00,1935,109,107
2020-07-24 03:00:00,1490,27,25
2020-07-24 04:00:00,2480,98,98
2020-07-24 05:00:00,2791,7,7
2020-07-24 06:00:00,4030,144,144
2020-07-24 07:00:00,13782,37,34
2020-07-24 08:00:00,6782,185,185
2020-07-24 09:00:00,5353,7,7
2020-07-24 10:00:00,9588,18,18
2020-07-24 11:00:00,6113,246,19
2020-07-24 12:00:00,3605,135,19
2020-07-24 13:00:00,4378,87,25
2020-07-24 14:00:00,3718,70,11
2020-07-24 15:00:00,3331,74,15
2020-07-24 16:00:00,3118,67,7
2020-07-24 17:00:00,3295,64,5
2020-07-24 18:00:00,7984,80,20
2020-07-24 19:00:00,18020,41,3
2020-07-24 20:00:00,3546,15,3
2020-07-24 21:00:00,2108,58,0
2020-07-24 22:00:00,4032,1008,949
2020-07-24 23:00:00,2315,64,6
