datetime,sc-status_count,time-taken_min,time-taken_max,time-taken_mean
2020-07-23 05:00:00,25,4107,89069,18858
2020-07-23 23:00:00,14,6080,561212,53837
2020-07-24 00:00:00,10,4143,6103,4410
2020-07-24 01:00:00,408,4098,578390,9800
2020-07-24 02:00:00,111,4105,61245,6431
2020-07-24 03:00:00,8,6058,30411,9139
2020-07-24 04:00:00,10,4125,6104,4773
2020-07-24 12:00:00,1,42946,42946,42946
2020-07-26 02:00:00,1,54578,54578,54578
2020-07-27 03:00:00,1,4160,4160,4160
2020-07-27 11:00:00,141,5012,73822,7225
2020-07-27 12:00:00,302,6032,505071,7839
